Variant,Model,N_Folds,ACC,QWK,AUC,F1-score,Precision,Recall
L_CE,best_4c_net,5,48.3 ± 4.8,N/A,73.3 ± 6.1,43.2 ± 6.1,43.5 ± 5.9,48.3 ± 4.8
  + L_Ins2Ins,best_4c_net,5,49.2 ± 5.2,N/A,73.3 ± 5.2,44.3 ± 6.4,43.1 ± 6.5,49.2 ± 5.2
    + L_Ins2Cls,best_4c_net,5,45.0 ± 5.7,N/A,72.6 ± 4.0,42.2 ± 5.8,44.8 ± 10.4,45.0 ± 5.7
      + L_Cls2Cls  (HOPE),best_4c_net,5,46.7 ± 3.1,N/A,72.0 ± 5.5,43.5 ± 7.4,48.8 ± 14.4,46.7 ± 3.1
Exclude Ins2Ins Ablation,best_4c_net,5,43.0 ± 5.5,N/A,71.1 ± 6.0,40.5 ± 4.6,45.6 ± 5.8,43.0 ± 5.5
Exclude Ins2Cls Ablation,best_4c_net,5,39.8 ± 4.6,N/A,72.7 ± 1.7,37.7 ± 6.2,44.1 ± 6.1,39.8 ± 4.6
Triplet Ins2Cls (Poles),best_4c_net,5,48.8 ± 4.6,N/A,73.2 ± 2.9,42.1 ± 5.0,40.4 ± 9.0,48.8 ± 4.6
CE + Triplet Only,best_4c_net,5,45.5 ± 8.2,N/A,71.3 ± 6.0,42.3 ± 9.1,44.3 ± 10.7,45.5 ± 8.2
CE + Hierarchical Triplet Only,best_4c_net,5,46.0 ± 3.5,N/A,73.3 ± 4.1,45.5 ± 3.7,51.6 ± 9.5,46.0 ± 3.5
Hierarchical Triplet Ins2Cls,best_4c_net,5,48.7 ± 7.2,N/A,72.5 ± 3.4,47.4 ± 5.7,51.2 ± 3.9,48.7 ± 7.2
HOPE 4-Class (No EMA),best_4c_net,5,35.7 ± 3.0,N/A,66.6 ± 3.9,27.6 ± 5.9,27.7 ± 7.4,35.7 ± 3.0
Triplet Ins2Cls 4-Class,best_4c_net,5,51.3 ± 5.1,N/A,77.0 ± 1.9,45.3 ± 2.4,41.8 ± 5.3,51.3 ± 5.1
Hierarchical Triplet 4-Class,best_4c_net,5,45.7 ± 4.9,64.4 ± 7.5,76.0 ± 4.7,43.3 ± 6.0,44.6 ± 11.1,45.7 ± 4.9
QWK Hierarchical Triplet 4-Class,best_4c_net,5,50.2 ± 9.0,71.0 ± 4.0,77.2 ± 3.0,45.0 ± 11.5,43.5 ± 13.9,50.2 ± 9.0
3-Pole Triplet (Local),best_4c_net,5,44.8 ± 4.0,63.4 ± 5.4,73.9 ± 4.3,44.5 ± 5.3,51.3 ± 8.9,44.8 ± 4.0
3-Pole Triplet (Global),best_4c_net,5,46.7 ± 8.7,65.7 ± 8.6,73.4 ± 4.6,45.5 ± 7.8,47.6 ± 6.1,46.7 ± 8.7
CE + 3-Pole Triplet (Local) Only,best_4c_net,5,44.7 ± 3.3,60.2 ± 5.9,71.8 ± 2.4,41.8 ± 1.9,46.1 ± 3.5,44.7 ± 3.3
CE + 3-Pole Triplet (Global) Only,best_4c_net,5,46.8 ± 3.9,66.3 ± 5.7,72.5 ± 4.7,46.1 ± 3.9,47.1 ± 4.3,46.8 ± 3.9
CE + 3-Pole Triplet (Local) Only (Margin 0.0),best_4c_net,5,42.8 ± 2.4,65.5 ± 6.2,73.7 ± 5.3,43.4 ± 4.4,51.7 ± 7.8,42.8 ± 2.4
CE + 3-Pole Triplet (Global) Only (Margin 0.0),best_4c_net,5,45.5 ± 5.0,59.0 ± 7.8,72.9 ± 3.1,43.3 ± 3.9,45.9 ± 2.6,45.5 ± 5.0
